filial;produto;armazem;quantidade;custo_unitario
01;55000095;02;50;87,1232
01;55000096;01;3;39,6299
01;55000096;12;11;39,633
01;55000099;02;500;12,93
01;56000127;02;48;211,9007
01;56000169;01;1;289,2573
01;56000169;02;23;290,4015
01;56000169;12;48;284,2416
01;56000170;02;84;184,0118
01;57000007;01;17;12,6274
01;57000007;12;2;11,5687
01;57000009;01;24;55,8785
01;57000009;02;126;55,8785
01;57000009;11;2;55,2802
01;57000009;12;9;53,2142
01;57000108;01;4;13,7909
01;57000108;02;24;13,791
01;57000108;50;114;13,791
01;57000109;50;3;106,4033
01;57000110;01;3;35,5766
01;57000110;12;1;35,571
01;57000110;50;45;35,5765
01;57000111;50;98;16,0999
01;57000113;11;3;41,9642
01;57000113;50;20;41,9644
01;57000349;50;44;30,567
01;57000350;50;153;18,9139
01;57000351;11;1;45,1601
01;57000351;12;7;45,143
01;57000351;50;76;45,1602
01;57000352;50;84;14,7368
01;57000353;12;5;162,7115
01;57000353;50;3;170,5977
01;57000354;12;2;49,2399
01;57000355;12;6;15,3164
01;57000355;50;2;15,4681
01;57000356;12;2;214,5139
01;57000356;50;3;184,7909
01;58000005;01;11;6,1205
01;58000005;02;36;6,1205
01;58000006;01;17;10,7229
01;58000006;11;4;10,7229
01;58000007;02;36;18,5099
01;58000008;01;13;17,9004
01;58000008;02;43;17,9004
01;59000001;01;17;97,2104
01;59000001;12;71;98,0978
01;59000002;01;1;88,8525
01;59000002;12;19;92,0194
01;59000003;02;40;109,8604
01;59000003;12;-2;90,0772
01;59000004;01;14;147,0774
01;59000004;12;35;147,0755
01;59000005;01;35;158,3303
01;59000005;12;122;155,4276
01;59000006;01;57;169,9689
01;59000006;12;46;175,8621
01;59000007;01;45;73,6602
01;59000007;12;13;73,6601
01;59000009;01;70;74,5233
01;59000009;02;61;74,5233
01;59000010;01;89;54,1936
01;59000010;02;308;54,1927
01;59000011;01;117;56,4452
01;59000011;02;154;56,4452
01;59000012;01;98;62,7679
01;59000012;12;42;79,6171
01;59000014;12;-2;201,495
01;59000015;12;21;261,5904
01;59000016;01;8;279,6994
01;59000016;12;60;277,4275
01;59000017;01;2;327,5695
01;59000017;02;87;327,0875
01;59000017;12;116;317,2665
01;59000018;12;157;264,8271
01;59000019;02;60;305,6773
01;59000020;02;24;294,882
01;59000022;01;7;69,9549
01;59000023;02;102;65,2052
01;59000024;12;90;81,0563
01;59000025;01;2;368,8333
01;59000025;12;-1;395,0533
01;59000026;01;3;475,9667
01;59000026;02;18,8933;446,4937
01;59000028;01;14;631,3358
01;59000040;01;10;368,6072
01;59000067;02;24;375,5808
01;59000068;01;33;121,6844
01;59000068;02;80;121,6845
01;59000075;02;49;573,731
01;59000075;12;27;573,5548
01;62000003;01;9;100,0978
01;62000003;05;77,9614;77,92
01;62000004;01;5;142,1598
01;62000005;01;98;128,0507
01;62000006;01;124;51,7664
01;62000007;12;-10;585,7868
01;62000009;01;11;451,1384
01;62000010;01;4;62,4852
01;64000008;12;15;264,4413
01;64000009;12;2;352,4226
01;64000012;12;1;591,3425
01;64000038;12;27;180,7936
01;64000041;02;74;225,5988
01;64000107;12;-156;3,8829
01;64000108;12;-1944;4,5149
01;64000110;12;-2253,6;4,0403
01;64000116;12;-3339,6;3,5877
01;70002686;02;617;3,7311
01;70002687;02;378;6,4216
01;70002695;26;1;434,5645
01;70002700;02;3000;0,03
01;70002701;01;12;1009,6947
01;70002701;26;1;1009,6947
01;70002702;01;24;480,3942
01;70002702;26;1;480,3942
01;70002703;26;1;1589,9827
01;70002704;26;1;1047,1616
01;70002705;01;16;488,5154
01;70002705;26;1;488,3661
01;70004247;01;14;1766,2584
01;82000211;02;18;2
01;85000392;11;2;23,4913
